Country Code,EN.ATM.CO2E.PC,NY.GDP.PCAP.CD,SI.POV.GINI,EP.PMP.SGAS.CD,AG.LND.PRCP.MM,EN.CLC.MDAT.ZS,AG.LND.EL5M.ZS,EN.POP.EL5M.ZS,ER.PTD.TOTL.ZS,AG.LND.ARBL.HA.PC,EN.POP.DNST,SP.DYN.LE00.IN,SE.ADT.LITR.ZS,SP.POP.GROW
ABW,8.493443942,25324.72036,#N/A,#N/A,#N/A,#N/A,7.07036754,7.069166545,0.48,0.019268751,582.3444444,75.57358537,97.52420044,0.459929192
AFG,0.670263744,561.7787463,#N/A,1.07,327,1.059290169,#N/A,#N/A,0.46,0.23722435,53.08340532,60.71717073,38.16804123,2.689163473
AGO,1.248693224,3110.808183,42.72,0.76,1010,1.011764676,0.125723662,1.436094368,4.98,0.182017652,23.11178551,52.66609756,71.16416168,3.367572131
ALB,1.663080482,4146.89625,28.96,1.76,1485,5.269576993,4.861273115,7.070960686,1.91,0.213076442,104.9671898,78.01446341,97.55390167,-0.159880412
AND,6.082314205,40215.43532,#N/A,1.51,#N/A,#N/A,#N/A,#N/A,19.5,0.035343272,164.4276596,#N/A,#N/A,-0.944016798
ARE,18.77827019,37622.20746,#N/A,0.47,78,#N/A,4.813372718,14.78463648,16.09,0.004134114,110.8805263,77.5412439,92.98636627,1.251759052
ARG,4.462127942,12449.21685,42.67,1.52,591,0.167189951,0.892866497,3.028912698,5.37,0.91201997,16.0220668,76.33421951,98.08997345,0.984741906
ARM,1.899711734,3606.152057,31.48,1.3,562,0.478231101,#N/A,#N/A,24.75,0.153980084,102.7332631,74.79712195,99.76841736,0.269302288
ASM,#N/A,11541.85498,#N/A,#N/A,#N/A,0.000261755,3.555491658,3.271014103,8.62,0.054115482,277.995,#N/A,97.34416199,0.111575019
ATG,5.360453467,14353.37881,#N/A,0.99,1030,#N/A,13.2094889,11.8295485,0.15,0.04045512,229.4613636,76.10021951,98.94999695,1.03542237
AUS,16.34730205,49927.81951,34.94,1.23,534,3.047098606,0.600587901,4.516620755,29.03,2.001517943,3.140616612,82.45121951,#N/A,1.410063834
AUT,7.360055782,44176.51522,30.48,1.6,1110,0.038152978,#N/A,#N/A,28.35,0.158249503,105.9990306,81.84390244,#N/A,1.314006681
AZE,3.785068836,3876.936433,31.79,1.21,447,1.105565067,#N/A,#N/A,13.97,0.202043423,118.0972624,70.84878049,99.8052597,1.163574223
BDI,0.030557741,285.7274421,33.36,1.53,1274,2.377411289,#N/A,#N/A,6.89,0.121312725,409.8176402,57.10704878,85.49609375,3.135333146
BEL,8.371639275,41096.1573,27.59,1.9,847,0.001692168,7.691376838,11.16689435,24.25,0.072887487,374.7740753,81.28780488,#N/A,0.653895349
